backend,batch_size,seq_len,bitwise_equal,max_abs_diff
native,1,128,True,0.0
fixed_tree,1,128,True,0.0
native,1,256,True,0.0
fixed_tree,1,256,True,0.0
native,1,512,True,0.0
fixed_tree,1,512,True,0.0
native,4,128,True,0.0
fixed_tree,4,128,True,0.0
native,4,256,True,0.0
fixed_tree,4,256,True,0.0
native,4,512,True,0.0
fixed_tree,4,512,True,0.0
native,8,128,True,0.0
fixed_tree,8,128,True,0.0
native,8,256,True,0.0
fixed_tree,8,256,True,0.0
native,8,512,True,0.0
fixed_tree,8,512,True,0.0
