dtype,method,repeat,size,block_size,input_scale,scaled_result,result,fp64_reference,reference_basis,absolute_error,relative_error,elapsed_ms,status,reason
float16,blocked,5,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,3.0644999933429062,ok,
float16,blocked,6,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,2.9760000034002587,ok,
float16,blocked,7,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,2.932625007815659,ok,
float16,blocked,8,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,3.0142500036163256,ok,
float16,blocked,9,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,2.961207996122539,ok,
float16,blocked,10,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,2.9716249991906807,ok,
float16,random,1,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.2069580047391355,ok,
float16,random,2,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.1927090021781623,ok,
float16,random,3,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.1974580051610246,ok,
float16,random,4,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.145333001157269,ok,
float16,random,5,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.1551670108456165,ok,
float16,random,6,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.147249997709878,ok,
float16,random,7,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.245917003368959,ok,
float16,random,8,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.1949580006767064,ok,
float16,random,9,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.177416991093196,ok,
float16,random,10,4096,,0.0067644241528043705,1885.0,278663.7794169846,277733.5867341268,dtype_quantized_input,930.1926828577998,0.0033492264792168236,3.155250000418164,ok,
float16,fixed_tree,1,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.033666001399978995,ok,
float16,fixed_tree,2,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.02258300082758069,ok,
float16,fixed_tree,3,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.02099999983329326,ok,
float16,fixed_tree,4,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.020457999198697507,ok,
float16,fixed_tree,5,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.019957995391450822,ok,
float16,fixed_tree,6,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.020082996343262494,ok,
float16,fixed_tree,7,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.019790997612290084,ok,
float16,fixed_tree,8,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.021333005861379206,ok,
float16,fixed_tree,9,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.019417013390921056,ok,
float16,fixed_tree,10,4096,,0.0067644241528043705,1878.0,277628.9537109268,277733.5867341268,dtype_quantized_input,104.63302319997456,0.00037673881805350146,0.01925000105984509,ok,
bfloat16,forward,1,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.9382079956121743,ok,
bfloat16,forward,2,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.925207998487167,ok,
bfloat16,forward,3,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.91820899292361,ok,
bfloat16,forward,4,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.887541995733045,ok,
bfloat16,forward,5,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.9481250094249845,ok,
bfloat16,forward,6,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.896416001021862,ok,
bfloat16,forward,7,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.889459006837569,ok,
bfloat16,forward,8,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.9790419939672574,ok,
bfloat16,forward,9,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.890125004341826,ok,
bfloat16,forward,10,4096,,0.0067644241528043705,1776.0,262550.0648512279,277241.1193390583,dtype_quantized_input,14691.054487830377,0.05299017159811572,2.9531250038417056,ok,
bfloat16,reverse,1,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,2.946374996099621,ok,
bfloat16,reverse,2,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,2.9392500000540167,ok,
bfloat16,reverse,3,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,3.0192499980330467,ok,
bfloat16,reverse,4,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,2.982374993734993,ok,
bfloat16,reverse,5,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,3.0369590094778687,ok,
bfloat16,reverse,6,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,2.9443749954225495,ok,
bfloat16,reverse,7,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,2.9761250043520704,ok,
bfloat16,reverse,8,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,2.9769170068902895,ok,
bfloat16,reverse,9,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,2.9496659990400076,ok,
bfloat16,reverse,10,4096,,0.0067644241528043705,1736.0,256636.77510232638,277241.1193390583,dtype_quantized_input,20604.344236731908,0.07431922178734734,2.9660410073120147,ok,
bfloat16,blocked,1,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,3.0239580082707107,ok,
